
Karoo GP by Kai Staats,Generation:,10

TREE_ID,1,,,,,,,,
tree_type,g,,,,,,,,
tree_depth_base,2,,,,,,,,
NODE_ID,1,2,3,4,5,6,7,8,9
fitness,1.0,23,,,,,,,,,

TREE_ID,13,,,,,,,,
tree_type,g,,,,,,,,
tree_depth_base,2,,,,,,,,
NODE_ID,1,2,3,4,5,6,7,8,9
node_depth,0,1,1,2,2,2,2,3,3
node_type,root,func,func,term,term,func,term,term,term
node_label,-,*,+,c,c,*,b,a,b
node_parent,,1,1,2,2,3,3,6,6
node_arity,2,2,2,0,0,2,0,0,0
node_c1,2,4,6,,,8,,,
node_c2,3,5,7,,,9,,,
node_c3,,,,,,,,,
fitness,0.0,19,,,,,,,

TREE_ID,14,,,,,,,,
tree_type,g,,,,,,,,
tree_depth_base,2,,,,,,,,
NODE_ID,1,2,3,4,5,6,7,8,9
node_depth,0,1,1,2,2,2,2,3,3
node_type,root,func,func,term,term,func,term,term,term
node_label,-,*,+,b,c,*,b,b,b
node_parent,,1,1,2,2,3,3,6,6
node_arity,2,2,2,0,0,2,0,0,0
node_c1,2,4,6,,,8,,,
node_c2,3,5,7,,,9,,,
node_c3,,,,,,,,,
fitness,0.0,19,,,,,,,

TREE_ID,15,,,,,,,,,,,,
tree_type,g,,,,,,,,,,,,
tree_depth_base,3,,,,,,,,,,,,
NODE_ID,1,2,3,4,5,6,7,8,9,10,11,12,13
node_depth,0,1,1,2,2,2,2,3,3,3,3,3,3
node_type,root,func,func,term,func,func,func,term,term,term,term,term,term
node_label,+,-,/,a,*,*,*,a,b,c,b,a,b
node_parent,,1,1,2,2,3,3,5,5,6,6,7,7
node_arity,2,2,2,0,2,2,2,0,0,0,0,0,0
node_c1,2,4,6,,8,10,12,,,,,,
node_c2,3,5,7,,9,11,13,,,,,,
node_c3,,,,,,,,,,,,,
fitness,1.0,27,,,,,,,,,,,

TREE_ID,16,,,,,,,,
tree_type,g,,,,,,,,
tree_depth_base,2,,,,,,,,
NODE_ID,1,2,3,4,5,6,7,8,9
node_depth,0,1,1,2,2,2,2,3,3
node_type,root,func,func,term,term,func,term,term,term
node_label,-,*,+,b,c,*,b,a,b
node_parent,,1,1,2,2,3,3,6,6
node_arity,2,2,2,0,0,2,0,0,0
node_c1,2,4,6,,,8,,,
node_c2,3,5,7,,,9,,,
node_c3,,,,,,,,,
fitness,10.0,19,,,,,,,

TREE_ID,17,,,,,,,,,,
tree_type,g,,,,,,,,,,
tree_depth_base,2,,,,,,,,,,
NODE_ID,1,2,3,4,5,6,7,8,9,10,11
node_depth,0,1,1,2,2,2,2,3,3,3,3
node_type,root,func,func,func,term,func,term,term,term,term,term
node_label,-,*,+,*,c,*,b,b,b,a,b
node_parent,,1,1,2,2,3,3,4,4,6,6
node_arity,2,2,2,2,0,2,0,0,0,0,0
node_c1,2,4,6,8,,10,,,,,
node_c2,3,5,7,9,,11,,,,,
node_c3,,,,,,,,,,,
fitness,1.0,23,,,,,,,,,

TREE_ID,18,,,,
tree_type,g,,,,
tree_depth_base,2,,,,
NODE_ID,1,2,3,4,5
node_depth,0,1,1,2,2
node_type,root,func,term,term,term
node_label,-,*,a,b,c
node_parent,,1,1,2,2
node_arity,2,2,0,0,0
node_c1,2,4,,,
node_c2,3,5,,,
node_c3,,,,,
fitness,0.0,11,,,

TREE_ID,19,,,,,,,,,,
tree_type,g,,,,,,,,,,
tree_depth_base,2,,,,,,,,,,
NODE_ID,1,2,3,4,5,6,7,8,9,10,11
node_depth,0,1,1,2,2,2,2,3,3,3,3
node_type,root,func,func,term,func,func,term,term,term,term,term
node_label,-,*,+,b,-,*,b,c,c,a,b
node_parent,,1,1,2,2,3,3,5,5,6,6
node_arity,2,2,2,0,2,2,0,0,0,0,0
node_c1,2,4,6,,8,10,,,,,
node_c2,3,5,7,,9,11,,,,,
node_c3,,,,,,,,,,,
fitness,0.0,23,,,,,,,,,

TREE_ID,20,,,,,,,,
tree_type,g,,,,,,,,
tree_depth_base,2,,,,,,,,
NODE_ID,1,2,3,4,5,6,7,8,9
node_depth,0,1,1,2,2,2,2,3,3
node_type,root,func,func,term,term,func,term,term,term
node_label,-,*,+,b,c,*,b,a,b
node_parent,,1,1,2,2,3,3,6,6
node_arity,2,2,2,0,0,2,0,0,0
node_c1,2,4,6,,,8,,,
node_c2,3,5,7,,,9,,,
node_c3,,,,,,,,,
fitness,10.0,19,,,,,,,

TREE_ID,21,,,,
tree_type,g,,,,
tree_depth_base,2,,,,
NODE_ID,1,2,3,4,5
node_depth,0,1,1,2,2
node_type,root,func,term,term,term
node_label,-,*,c,b,c
node_parent,,1,1,2,2
node_arity,2,2,0,0,0
node_c1,2,4,,,
node_c2,3,5,,,
node_c3,,,,,
fitness,0.0,11,,,

TREE_ID,22,,,,,,,,
tree_type,g,,,,,,,,
tree_depth_base,2,,,,,,,,
NODE_ID,1,2,3,4,5,6,7,8,9
node_depth,0,1,1,2,2,2,2,3,3
node_type,root,func,func,term,term,func,term,term,term
node_label,-,*,+,b,c,*,b,a,b
node_parent,,1,1,2,2,3,3,6,6
node_arity,2,2,2,0,0,2,0,0,0
node_c1,2,4,6,,,8,,,
node_c2,3,5,7,,,9,,,
node_c3,,,,,,,,,
fitness,10.0,19,,,,,,,

TREE_ID,23,,,,,,,,
tree_type,g,,,,,,,,
tree_depth_base,2,,,,,,,,
NODE_ID,1,2,3,4,5,6,7,8,9
node_depth,0,1,1,2,2,2,2,3,3
node_type,root,func,func,term,term,term,func,term,term
node_label,-,*,*,b,c,b,+,c,a
node_parent,,1,1,2,2,3,3,7,7
node_arity,2,2,2,0,0,0,2,0,0
node_c1,2,4,6,,,,8,,
node_c2,3,5,7,,,,9,,
node_c3,,,,,,,,,
fitness,0.0,19,,,,,,,

TREE_ID,24,,,,,,,,,,
tree_type,g,,,,,,,,,,
tree_depth_base,2,,,,,,,,,,
NODE_ID,1,2,3,4,5,6,7,8,9,10,11
node_depth,0,1,1,2,2,2,2,3,3,3,3
node_type,root,func,func,func,term,func,term,term,term,term,term
node_label,-,*,+,+,c,*,b,a,b,b,b
node_parent,,1,1,2,2,3,3,4,4,6,6
node_arity,2,2,2,2,0,2,0,0,0,0,0
node_c1,2,4,6,8,,10,,,,,
node_c2,3,5,7,9,,11,,,,,
node_c3,,,,,,,,,,,
fitness,0.0,23,,,,,,,,,

TREE_ID,25,,,,,,,,
tree_type,g,,,,,,,,
tree_depth_base,2,,,,,,,,
NODE_ID,1,2,3,4,5,6,7,8,9
node_depth,0,1,1,2,2,2,2,3,3
node_type,root,func,func,term,term,func,term,term,term
node_label,-,*,+,b,c,+,b,a,b
node_parent,,1,1,2,2,3,3,6,6
node_arity,2,2,2,0,0,2,0,0,0
node_c1,2,4,6,,,8,,,
node_c2,3,5,7,,,9,,,
node_c3,,,,,,,,,
fitness,0.0,19,,,,,,,

TREE_ID,26,,,,,,,,,,
tree_type,g,,,,,,,,,,
tree_depth_base,2,,,,,,,,,,
NODE_ID,1,2,3,4,5,6,7,8,9,10,11
node_depth,0,1,1,2,2,2,2,3,3,3,3
node_type,root,func,func,term,func,func,term,term,term,term,term
node_label,-,*,+,b,/,*,b,b,a,a,b
node_parent,,1,1,2,2,3,3,5,5,6,6
node_arity,2,2,2,0,2,2,0,0,0,0,0
node_c1,2,4,6,,8,10,,,,,
node_c2,3,5,7,,9,11,,,,,
node_c3,,,,,,,,,,,
fitness,1.0,23,,,,,,,,,

TREE_ID,27,,,,,,,,,,
tree_type,g,,,,,,,,,,
tree_depth_base,2,,,,,,,,,,
NODE_ID,1,2,3,4,5,6,7,8,9,10,11
node_depth,0,1,1,2,2,2,2,3,3,3,3
node_type,root,func,func,func,term,func,term,term,term,term,term
node_label,-,*,+,+,c,-,b,c,a,b,c
node_parent,,1,1,2,2,3,3,4,4,6,6
node_arity,2,2,2,2,0,2,0,0,0,0,0
node_c1,2,4,6,8,,10,,,,,
node_c2,3,5,7,9,,11,,,,,
node_c3,,,,,,,,,,,
fitness,0.0,23,,,,,,,,,

TREE_ID,28,,,,,,
tree_type,g,,,,,,
tree_depth_base,2,,,,,,
NODE_ID,1,2,3,4,5,6,7
node_depth,0,1,1,2,2,2,2
node_type,root,func,func,term,term,term,term
node_label,-,*,+,b,c,b,b
node_parent,,1,1,2,2,3,3
node_arity,2,2,2,0,0,0,0
node_c1,2,4,6,,,,
node_c2,3,5,7,,,,
node_c3,,,,,,,
fitness,1.0,15,,,,,

TREE_ID,29,,,,,,
tree_type,g,,,,,,
tree_depth_base,2,,,,,,
NODE_ID,1,2,3,4,5,6,7
node_depth,0,1,1,2,2,3,3
node_type,root,term,func,func,term,term,term
node_label,-,a,+,*,b,a,b
node_parent,,1,1,3,3,6,6
node_arity,2,0,2,2,0,0,0
node_c1,2,,4,6,,,
node_c2,3,,5,7,,,
node_c3,,,,,,,
fitness,0.0,15,,,,,

TREE_ID,30,,,,,,,,,,
tree_type,g,,,,,,,,,,
tree_depth_base,2,,,,,,,,,,
NODE_ID,1,2,3,4,5,6,7,8,9,10,11
node_depth,0,1,1,2,2,2,2,3,3,3,3
node_type,root,func,func,func,term,func,term,term,term,term,term
node_label,-,*,+,+,c,*,b,c,a,c,b
node_parent,,1,1,2,2,3,3,4,4,6,6
node_arity,2,2,2,2,0,2,0,0,0,0,0
node_c1,2,4,6,8,,10,,,,,
node_c2,3,5,7,9,,11,,,,,
node_c3,,,,,,,,,,,
fitness,0.0,23,,,,,,,,,

TREE_ID,31,,,,,,,,
tree_type,g,,,,,,,,
tree_depth_base,2,,,,,,,,
NODE_ID,1,2,3,4,5,6,7,8,9
node_depth,0,1,1,2,2,2,2,3,3
node_type,root,func,func,term,term,func,term,term,term
node_label,-,*,+,b,c,*,b,c,b
node_parent,,1,1,2,2,3,3,6,6
node_arity,2,2,2,0,0,2,0,0,0
node_c1,2,4,6,,,8,,,
node_c2,3,5,7,,,9,,,
node_c3,,,,,,,,,
fitness,0.0,19,,,,,,,

TREE_ID,32,,,,,,
tree_type,g,,,,,,
tree_depth_base,2,,,,,,
NODE_ID,1,2,3,4,5,6,7
node_depth,0,1,1,2,2,3,3
node_type,root,term,func,func,term,term,term
node_label,-,a,+,*,b,a,b
node_parent,,1,1,3,3,6,6
node_arity,2,0,2,2,0,0,0
node_c1,2,,4,6,,,
node_c2,3,,5,7,,,
node_c3,,,,,,,
fitness,0.0,15,,,,,

TREE_ID,33,,,,,,,,
tree_type,g,,,,,,,,
tree_depth_base,2,,,,,,,,
NODE_ID,1,2,3,4,5,6,7,8,9
node_depth,0,1,1,2,2,2,2,3,3
node_type,root,func,func,term,term,func,term,term,term
node_label,-,*,+,b,c,*,b,b,b
node_parent,,1,1,2,2,3,3,6,6
node_arity,2,2,2,0,0,2,0,0,0
node_c1,2,4,6,,,8,,,
node_c2,3,5,7,,,9,,,
node_c3,,,,,,,,,
fitness,0.0,19,,,,,,,

